['[CLS]', 'Um', 'das', 'Vorhandensein', 'der', 'Polymerasekettenreaktion-Produkte', 'feststellen', 'zu', 'können', 'verwendet', 'man', 'die', 'Gelelektrophorese', 'mit', 'einer', 'anschließenden', 'Behandlung', 'des', 'Gels', 'durch', 'Ethidiumbromid', '[SEP]']	[0.029052589620273118, 0.022032667457281472, 0.022072161122733813, 0.07494758303693028, 0.02253865673769027, 0.20191695756979414, 0.026680589211527363, 0.023285188463617497, 0.023403748364450735, 0.026642809038685416, 0.024372600099029158, 0.023451093989148686, 0.12632857947339138, 0.02297287503905845, 0.02199570811117336, 0.02729299384826749, 0.028728968081909736, 0.02332496511874508, 0.04223628401213551, 0.02174933353912918, 0.1360403758000853, 0.02893327226494256]
['[CLS]', 'Bei', 'dieser', 'Methode', 'wird', 'die', 'negative', 'Ladung', 'der', 'DNA-Fragmente', 'genutzt', '[SEP]']	[0.08238112548376895, 0.05940842853715282, 0.059730491053082216, 0.06903527930949896, 0.06336982740316113, 0.06046561224378574, 0.07043806662973975, 0.07155961309987587, 0.06038589223771744, 0.2570829635794638, 0.06604894788057583, 0.08009375254217753]
['[CLS]', 'Die', 'DNA-Fragmente', 'sind', 'auf', 'Grund', 'der', 'darin', 'enthaltenen', 'Phosphatreste', 'negativ', 'geladen', '[SEP]']	[0.06537041380905015, 0.04561052262001425, 0.21674516218932055, 0.050016244139824646, 0.04881821948480878, 0.04965649053331885, 0.048002029266191584, 0.05236432060338218, 0.05731134265720722, 0.1944900467308142, 0.05346855552431136, 0.05393838986806141, 0.06420826257369482]
['[CLS]', 'Anlegen', 'eines', 'elektrischen', 'Feldes', 'lässt', 'die', 'Polymerasekettenreaktion-Produkte', 'durch', 'ein', 'gelartiges', 'Medium', 'zumeist', 'Agarose', 'wandern', '[SEP]']	[0.043694903855617424, 0.06536086127630174, 0.033659246216660284, 0.042823758595391295, 0.059767240512460136, 0.03535899841669242, 0.03374689985912511, 0.2911167951909795, 0.033238300818104555, 0.03209354544402564, 0.07266456189625156, 0.03748847434270841, 0.03412227493896169, 0.10037381750967582, 0.04120450267249687, 0.0432858184545476]
['[CLS]', 'Die', 'DNA-Fragmente', 'wandern', 'durch', 'das', 'Agarose-Sieb', 'vom', 'Minuspol', 'zum', 'Pluspol', '[SEP]']	[0.0588248007204895, 0.04044362703380793, 0.20270361222776445, 0.056866312165753594, 0.044445054016528915, 0.04304316344880487, 0.22775389635867702, 0.0429388261240318, 0.09284982624234578, 0.04146576481188096, 0.09081624356731949, 0.057848873282595706]
['[CLS]', 'Kleinere', 'Fragmente', 'wandern', 'schneller', 'durch', 'das', 'Agarose-Sieb', 'daher', 'befinden', 'sie', 'sich', 'in', 'der', 'Nähe', 'zum', 'Pluspol', 'des', 'Gels', '[SEP]']	[0.04291210276660978, 0.06483796519732332, 0.07957866251915693, 0.04208294565062504, 0.03793960548598728, 0.03334973628465819, 0.03250023312527423, 0.173636176111777, 0.034996430071335675, 0.042067684337570736, 0.032908665279619775, 0.03348366436111882, 0.03497452229276743, 0.030743951657294977, 0.03909654942345799, 0.03220563398706187, 0.07273864364920558, 0.03433306192649033, 0.0630848881403136, 0.042528877732351436]
['[CLS]', 'Die', 'größeren', 'Fragmente', 'wandern', 'langsamer', 'und', 'bleiben', 'in', 'der', 'Nähe', 'zum', 'Minuspol', '[SEP]']	[0.07737139027409191, 0.0525252206348676, 0.05719195735393239, 0.13058624369738725, 0.0743051806050993, 0.06425704354190327, 0.06024688012064666, 0.059665052984193154, 0.059349965720515464, 0.05074768148338925, 0.06501736172144754, 0.0543411410332553, 0.11864085138126562, 0.07575402944800529]
['[CLS]', 'Um', 'DNA-Fragmente', 'sichtbar', 'zu', 'machen', 'behandelt', 'man', 'das', 'Gel', 'mit', 'einer', 'wässrigen', 'Lösung', 'von', 'Ethidiumbromid', '[SEP]']	[0.04489008151799552, 0.032722829407928734, 0.15922093838007506, 0.03944596096757554, 0.03337971337886777, 0.03693889620863967, 0.03869994045652576, 0.03581653147563735, 0.034386372163805586, 0.035991877421977125, 0.03559620468333432, 0.03416712586268809, 0.11421295944982351, 0.04057408755933166, 0.03393116499520626, 0.20551482012089248, 0.04451049594969557]
['[CLS]', 'Das', 'Molekül', 'des', 'Ethidiumbromids', 'ist', 'planar', 'und', 'kann', 'sich', 'zwischen', 'den', 'Basen', 'der', 'DNA-Fragmente', 'einlagern', '[SEP]']	[0.04171805442436489, 0.030485081197906806, 0.07793656802882051, 0.03129105412974113, 0.19461430808615285, 0.034421255570054606, 0.062439142027487446, 0.03717650917461259, 0.03327800634045577, 0.0318901609789511, 0.034858762410293516, 0.03210174592862941, 0.06784466486329846, 0.033252471638493916, 0.1452505323435856, 0.0701469911767563, 0.04129469168039508]
['[CLS]', 'Nur', 'nach', 'dem', 'Entstehen', 'eines', 'solchen', 'Komplexes', 'und', 'durch', 'das', 'Beleuchten', 'mit', 'UV-Licht', 'kann', 'man', 'die', 'Polymerasekettenreaktion-Produkte', 'in', 'Form', 'von', 'Banden', 'sehen', 'und', 'fotografieren', '[SEP]']	[0.02912699622363547, 0.022902586661638823, 0.023626414209364316, 0.021828535595100573, 0.05014238392580267, 0.024943989233364258, 0.025155072185777665, 0.04588685988379194, 0.02609488254178685, 0.024112400419365517, 0.023594757467629558, 0.05233267972334952, 0.02258088620598645, 0.07669488821118374, 0.02547219163156706, 0.026763306618833027, 0.024039951192702004, 0.20687800820463584, 0.02351216180469337, 0.025355814167398516, 0.0228036471971056, 0.048180763147741265, 0.024740108241349708, 0.024199042337804334, 0.05006209664598066, 0.02896957632241115]
