['[CLS]', 'Um', 'das', 'Vorhandensein', 'der', 'Polymerasekettenreaktion-Produkte', 'feststellen', 'zu', 'können', 'verwendet', 'man', 'die', 'Gelelektrophorese', 'mit', 'einer', 'anschließenden', 'Behandlung', 'des', 'Gels', 'durch', 'Ethidiumbromid', '[SEP]']	[0.024958969825582263, 0.02029460642274214, 0.022294397488602888, 0.08849746328979025, 0.024958969825582263, 0.2093030280790414, 0.04683697514098138, 0.024958969825582263, 0.024958969825582263, 0.024958969825582263, 0.02017996496447127, 0.02398376830931462, 0.12677622480954887, 0.024958969825582263, 0.024958969825582263, 0.024958969825582263, 0.024958969825582263, 0.018577854305764877, 0.041223055674801126, 0.024958969825582263, 0.10748399343353635, 0.024958969825582263]
['[CLS]', 'Bei', 'dieser', 'Methode', 'wird', 'die', 'negative', 'Ladung', 'der', 'DNA-Fragmente', 'genutzt', '[SEP]']	[0.06788743288547958, 0.054836102410986756, 0.06788743288547958, 0.06747159279874038, 0.06788743288547958, 0.057142196921343015, 0.05762942033114461, 0.11751226193328217, 0.06078976335416645, 0.24518149782293877, 0.06788743288547958, 0.06788743288547958]
['[CLS]', 'Die', 'DNA-Fragmente', 'sind', 'auf', 'Grund', 'der', 'darin', 'enthaltenen', 'Phosphatreste', 'negativ', 'geladen', '[SEP]']	[0.049982175744304545, 0.04567217063518734, 0.183375627982765, 0.049982175744304545, 0.049982175744304545, 0.048690878944098875, 0.04912577256432278, 0.041207527528054344, 0.09191178592786584, 0.2122194438649492, 0.04326110266464094, 0.08460698691089755, 0.049982175744304545]
['[CLS]', 'Anlegen', 'eines', 'elektrischen', 'Feldes', 'lässt', 'die', 'Polymerasekettenreaktion-Produkte', 'durch', 'ein', 'gelartiges', 'Medium', 'zumeist', 'Agarose', 'wandern', '[SEP]']	[0.03405200867220365, 0.05519189115923605, 0.03405200867220365, 0.06393101592366944, 0.06117403575131729, 0.03405200867220365, 0.0318227830659524, 0.27804986163859835, 0.03405200867220365, 0.03405200867220365, 0.09414132013472325, 0.030055324864544528, 0.03405200867220365, 0.05569573790801322, 0.09157396884851993, 0.03405200867220365]
['[CLS]', 'Die', 'DNA-Fragmente', 'wandern', 'durch', 'das', 'Agarose-Sieb', 'vom', 'Minuspol', 'zum', 'Pluspol', '[SEP]']	[0.04581086222021049, 0.043922358893328094, 0.17249115497497686, 0.1273704444053514, 0.04581086222021049, 0.0409167872604849, 0.19712540832195172, 0.04581086222021049, 0.11799775611113139, 0.04581086222021049, 0.07112177893172318, 0.04581086222021049]
['[CLS]', 'Kleinere', 'Fragmente', 'wandern', 'schneller', 'durch', 'das', 'Agarose-Sieb', 'daher', 'befinden', 'sie', 'sich', 'in', 'der', 'Nähe', 'zum', 'Pluspol', 'des', 'Gels', '[SEP]']	[0.03575105111066735, 0.06607438603951216, 0.06680638147292436, 0.09835792886001311, 0.06607402508736293, 0.03575105111066735, 0.030707489867878506, 0.1509219999226029, 0.03575105111066735, 0.03575105111066735, 0.030851090604266357, 0.03575105111066735, 0.028636804509452534, 0.03575105111066735, 0.03575105111066735, 0.03575105111066735, 0.055241476605222134, 0.026548823551662645, 0.0580201334830963, 0.03575105111066735]
['[CLS]', 'Die', 'größeren', 'Fragmente', 'wandern', 'langsamer', 'und', 'bleiben', 'in', 'der', 'Nähe', 'zum', 'Minuspol', '[SEP]']	[0.05509923714569505, 0.04990604334580638, 0.05509923714569505, 0.09853377925401402, 0.14217708410835897, 0.09992771626694963, 0.05509923714569505, 0.05509923714569505, 0.04276328086891871, 0.05232588555879274, 0.05509923714569505, 0.05238233839499175, 0.1313884493279976, 0.05509923714569505]
['[CLS]', 'Um', 'DNA-Fragmente', 'sichtbar', 'zu', 'machen', 'behandelt', 'man', 'das', 'Gel', 'mit', 'einer', 'wässrigen', 'Lösung', 'von', 'Ethidiumbromid', '[SEP]']	[0.03949200453251744, 0.029360259492806132, 0.14612072336727558, 0.03949200453251744, 0.036987195095545704, 0.03949200453251744, 0.03949200453251744, 0.031032817176829635, 0.033227417224608743, 0.06267778994509965, 0.03949200453251744, 0.03949200453251744, 0.1397180336816712, 0.03949200453251744, 0.03949200453251744, 0.16544772322350643, 0.03949200453251744]
['[CLS]', 'Das', 'Molekül', 'des', 'Ethidiumbromids', 'ist', 'planar', 'und', 'kann', 'sich', 'zwischen', 'den', 'Basen', 'der', 'DNA-Fragmente', 'einlagern', '[SEP]']	[0.0351827187495143, 0.03366844129266533, 0.09266639899403041, 0.026918808163558836, 0.18557084492076578, 0.0351827187495143, 0.06195337455191437, 0.0351827187495143, 0.0351827187495143, 0.0351827187495143, 0.0351827187495143, 0.02769397227514474, 0.060936738978375316, 0.034142589747799275, 0.12934470291056735, 0.10082509691857867, 0.0351827187495143]
['[CLS]', 'Nur', 'nach', 'dem', 'Entstehen', 'eines', 'solchen', 'Komplexes', 'und', 'durch', 'das', 'Beleuchten', 'mit', 'UV-Licht', 'kann', 'man', 'die', 'Polymerasekettenreaktion-Produkte', 'in', 'Form', 'von', 'Banden', 'sehen', 'und', 'fotografieren', '[SEP]']	[0.02482874728084037, 0.021236695590377278, 0.02482874728084037, 0.024024099738847667, 0.0618051895294245, 0.02482874728084037, 0.02482874728084037, 0.06336384768464169, 0.02482874728084037, 0.02482874728084037, 0.02095650756126262, 0.06315608440197168, 0.02482874728084037, 0.0674668956111466, 0.024173201841734725, 0.01961552167721625, 0.023214559450549732, 0.2055506899895996, 0.02008297880936451, 0.02109550490570197, 0.02482874728084037, 0.04607352283203464, 0.02482874728084037, 0.02482874728084037, 0.045068480286882505, 0.02482874728084037]
